te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0,0,0,0.006,0.01,0.017,1,1,1,0.951,0.951,0.951
0,0,0,0,0,0,0,0,0,0.006,0.01,0.017,1,1,1,0.951,0.951,0.951
0,0,0,0,0,0,0,0,0,0.006,0.01,0.017,1,1,1,0.951,0.951,0.951
0,0,0,0,0,0,0,0.001,0.003,0.006,0.01,0.017,0.969,0.969,0.969,0.55,0.55,0.55
0,0,0,0,0,0,0,0.001,0.003,0.006,0.01,0.017,0.969,0.969,0.969,0.55,0.55,0.55
0,0,0,0,0,0,0,0.001,0.003,0.006,0.01,0.017,0.969,0.969,0.969,0.55,0.55,0.55
0,0,0,0,0,0,0,0,0,0.004,0.009,0.015,1,1,1,0.951,0.951,0.951
0,0,0,0.001,0.001,0.001,0,0,0,0.002,0.006,0.012,1,1,1,0.951,0.951,0.951
0,0,0,0.003,0.003,0.003,0,0,0,0.001,0.003,0.008,1,1,1,0.951,0.951,0.951
0.006,0.006,0.006,0.006,0.006,0.006,0.004,0.002,0.001,0,0.001,0.004,0.968,0.968,0.968,0.528,0.528,0.528
0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.006,0.003,0.001,0,0.001,0.968,0.968,0.968,0.523,0.523,0.523
0.017,0.017,0.017,0.017,0.017,0.017,0.015,0.012,0.008,0.004,0.001,0,0.967,0.967,0.967,0.519,0.519,0.519
1,1,1,0.969,0.969,0.969,1,1,1,0.968,0.968,0.967,0,0,0,0,0,0
1,1,1,0.969,0.969,0.969,1,1,1,0.968,0.968,0.967,0,0,0,0,0,0
1,1,1,0.969,0.969,0.969,1,1,1,0.968,0.968,0.967,0,0,0,0,0,0
0.951,0.951,0.951,0.55,0.55,0.55,0.951,0.951,0.951,0.528,0.523,0.519,0,0,0,0,0,0
0.951,0.951,0.951,0.55,0.55,0.55,0.951,0.951,0.951,0.528,0.523,0.519,0,0,0,0,0,0
0.951,0.951,0.951,0.55,0.55,0.55,0.951,0.951,0.951,0.528,0.523,0.519,0,0,0,0,0,0
