hospital_id,hospital_name,2014_te_crs,2014_te_vrs,2014_te_nirs,2015_te_crs,2015_te_vrs,2015_te_nirs,2016_te_crs,2016_te_vrs,2016_te_nirs,2017_te_crs,2017_te_vrs,2017_te_nirs,2018_te_crs,2018_te_vrs,2018_te_nirs,2019_te_crs,2019_te_vrs,2019_te_nirs,2020_te_crs,2020_te_vrs,2020_te_nirs
101100,Hospital Doctor Juan Noé,1.458,1.288,1.288,1.511,1.301,1.301,1.364,1.17,1.17,39.2,1.939,1.939,43.5,1.932,1.932,25.0,1.899,1.899,30.0,1.738,1.738
102100,Hospital de Iquique,1.992,1.524,1.524,1.846,1.391,1.391,1.76,1.229,1.229,39.951,1.583,1.583,43.548,1.734,1.734,2.25,1.0,1.0,29.0,1.446,1.446
103100,Hospital de Antofagasta,1.909,1.339,1.339,1.824,1.338,1.338,1.624,1.285,1.285,50.471,1.823,1.823,78.784,1.921,1.921,76.488,1.736,1.736,69.565,1.66,1.66
103101,Hospital de Calama,1.51,1.325,1.325,1.747,1.731,1.747,1.612,1.601,1.612,57.077,4.468,4.468,51.071,4.199,4.199,62.588,3.545,3.545,42.5,2.793,2.793
104100,Hospital de Copiapó,1.874,1.738,1.738,2.141,1.952,1.952,1.957,1.761,1.761,60.937,3.068,3.068,57.5,2.934,2.934,56.952,2.765,2.765,48.077,2.577,2.577
105100,Hospital de La Serena,1.226,1.166,1.166,1.296,1.266,1.266,1.282,1.25,1.25,31.909,1.836,1.836,40.781,2.281,2.281,39.235,2.118,2.118,60.714,2.383,2.383
105101,Hospital de Coquimbo,1.309,1.279,1.279,1.39,1.388,1.388,1.582,1.399,1.399,36.4,2.047,2.047,43.548,2.22,2.22,47.533,2.254,2.254,50.0,2.28,2.28
105102,Hospital de Ovalle,1.267,1.258,1.258,1.202,1.148,1.202,1.197,1.194,1.194,30.789,2.643,2.643,30.0,2.824,2.824,41.818,2.81,2.81,45.455,2.8,2.8
106100,Hospital Carlos Van Buren,1.489,1.161,1.161,1.465,1.061,1.061,1.464,1.097,1.097,49.882,1.4,1.4,70.312,1.846,1.846,70.737,1.81,1.81,65.625,2.138,2.138
106102,Hospital Dr. Eduardo Pereira Ramírez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,4.401,4.401,29.0,3.958,3.958,33.889,3.676,3.676,36.923,3.997,3.997
106103,Hospital Claudio Vicuña,1.0,1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.02,37.143,4.118,4.118,36.25,4.053,4.052,51.333,4.868,4.868,48.0,5.699,5.699
107100,Hospital Dr. Gustavo Fricke,1.643,1.375,1.375,1.597,1.267,1.267,1.587,1.318,1.318,62.156,1.762,1.762,70.147,1.807,1.807,69.657,1.748,1.748,58.333,1.728,1.728
