hospital_id,hospital_name,2014_te_crs,2014_te_vrs,2014_te_nirs,2015_te_crs,2015_te_vrs,2015_te_nirs,2016_te_crs,2016_te_vrs,2016_te_nirs,2017_te_crs,2017_te_vrs,2017_te_nirs,2018_te_crs,2018_te_vrs,2018_te_nirs,2019_te_crs,2019_te_vrs,2019_te_nirs,2020_te_crs,2020_te_vrs,2020_te_nirs
101100,Hospital Doctor Juan Noé,1.417,1.365,1.365,1.418,1.357,1.357,1.33,1.235,1.235,39.2,2.035,2.035,43.5,2.052,2.052,25.0,2.067,2.067,30.0,1.858,1.858
102100,Hospital de Iquique,1.873,1.583,1.583,1.788,1.47,1.47,1.732,1.301,1.301,39.951,1.604,1.604,43.548,1.847,1.847,2.25,1.0,1.0,29.0,1.511,1.511
103100,Hospital de Antofagasta,1.661,1.326,1.326,1.626,1.295,1.295,1.497,1.285,1.285,50.471,1.845,1.845,74.455,1.937,1.937,74.02,1.773,1.773,66.207,1.584,1.584
103101,Hospital de Calama,1.43,1.335,1.335,1.966,1.953,1.966,1.878,1.842,1.878,72.643,5.62,5.62,62.833,5.218,5.218,77.267,4.416,4.416,45.242,3.093,3.093
104100,Hospital de Copiapó,1.801,1.758,1.758,2.143,2.05,2.05,1.954,1.834,1.834,60.937,3.319,3.319,57.5,3.226,3.226,56.952,3.034,3.034,48.077,2.939,2.939
105100,Hospital de La Serena,1.106,1.069,1.069,1.187,1.182,1.182,1.176,1.144,1.144,31.909,1.836,1.836,40.781,2.204,2.204,39.235,2.068,2.068,60.714,2.382,2.382
105101,Hospital de Coquimbo,1.19,1.116,1.116,1.22,1.193,1.193,1.317,1.202,1.202,36.4,1.931,1.931,43.548,2.027,2.027,47.533,2.109,2.109,50.0,2.258,2.258
105102,Hospital de Ovalle,1.284,1.258,1.258,1.234,1.169,1.234,1.239,1.233,1.239,30.789,2.643,2.643,30.0,2.824,2.824,41.818,2.81,2.81,45.455,2.8,2.8
106100,Hospital Carlos Van Buren,1.168,1.072,1.072,1.095,1.0,1.0,1.102,1.0,1.0,41.901,1.283,1.283,61.017,1.656,1.656,63.033,1.673,1.673,60.261,2.031,2.031
106102,Hospital Dr. Eduardo Pereira Ramírez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,4.401,4.401,29.0,3.958,3.958,33.889,3.676,3.676,36.923,3.997,3.997
