hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,15,7943,19779705,10982608
102100,203,1,7946,27881106,15394204
103100,303,2,7950,29969438,15065061
103101,304,2,7951,11358890,3408115
103102,305,2,7952,3524477,1380911
103103,306,2,7953,1621675,417126
103104,307,2,7954,1016256,196916
104100,403,3,7958,17876433,11031162
104101,404,3,7959,1280929,251949
104102,405,3,7960,1245973,277613
104103,406,3,7961,8586874,4424424
104104,407,3,7962,1315483,241393
105100,503,4,7965,17866865,13789596
105101,504,4,7966,19796143,13948297
105102,505,4,7967,11496479,5926447
105103,506,4,7968,3850898,1100045
105104,507,4,7969,1716332,565173
105105,508,4,7970,1251524,304085
105106,509,4,7971,1127535,370856
105107,5010,4,7972,1397864,518195
105108,5011,4,7973,1839990,561707
106100,603,5,7976,33488100,20783099
106102,607,5,7980,8286791,4369250
106103,604,5,7977,8692940,5097645
106104,605,5,7978,3504183,1461452
106105,606,5,7979,1473414,579158
107100,703,5,7984,33677672,29614260
107101,704,5,7985,12084109,7848501
107102,705,5,7986,10378035,4741308
107103,706,5,7987,3022290,937068
107104,708,5,7989,2993620,971351
107105,709,5,7990,2529715,973515
107106,7010,5,7991,1305575,467778
107107,7011,5,7992,920989,200075
107108,7012,5,7993,1922847,855402
107109,7013,5,7994,2856757,1439798
107110,707,5,7988,1604101,321429
108100,803,5,7997,11765441,5672000
108101,804,5,7998,9317995,4600524
108102,805,5,7999,1784369,617142
108104,806,5,8000,803881,272991
108105,807,5,8001,5048666,1497898
109100,2606,13,8185,36250582,29896273
109101,2605,13,8184,20226433,9119011
109102,2608,13,8187,8557075,4311417
109103,2607,13,8186,6557541,6821145
109104,2604,13,8183,1379965,336283
110100,2709,13,8196,35301774,35296769
110110,27010,13,8197,5362731,5936025
110120,2708,13,8195,23369931,15524731
110130,2707,13,8194,7518123,3284928
110140,2706,13,8193,3944285,1158943
110150,2705,13,8192,8015688,4248971
110160,2704,13,8191,2217199,642908
111100,2404,13,8169,40032564,36260229
111101,2406,13,8171,19066734,15565728
111351,3101,13,8207,2636495,5114978
112100,2306,13,8161,27201643,39817772
112101,2305,13,8160,14654696,10264670
112102,2304,13,8159,17279946,19458379
112103,2303,13,8158,8552125,12167125
112104,2308,13,8163,8477152,7902159
112105,2309,13,8164,2126196,1105545
112106,2307,13,8162,2660008,911812
112107,23010,13,8165,2244001,1655130
113100,2503,13,8174,46555512,33283909
113130,2505,13,8176,13113697,6688299
113150,2506,13,8177,6293464,2001783
113160,2504,13,8175,3310527,9858314
113170,2507,13,8178,3677253,1288354
113180,2508,13,8179,17687095,9572895
114101,2805,13,8202,56699128,36817702
114102,2806,13,8203,5538396,1664914
114103,3001,13,8206,24929729,16389881
114105,2807,13,8204,19726371,15300928
115100,903,6,8007,30347442,22741549
115101,904,6,8008,1425715,340291
115102,905,6,8009,823022,251954
115103,906,6,8010,1160754,336721
115104,907,6,8011,3374972,2666988
115105,908,6,8012,2192949,1160451
115106,909,6,8013,729578,241854
115107,9010,6,8014,9245299,5289093
115108,9011,6,8015,1230453,337503
115109,9012,6,8016,880156,309105
115110,9013,6,8017,5018987,2635254
115111,9014,6,8018,543456,150431
115112,9015,6,8019,1097711,431671
115113,9016,6,8020,655636,163152
115114,9017,6,8021,656695,174735
116100,1003,7,8024,16081403,8928871
116101,1004,7,8025,1193694,303249
116102,1005,7,8026,2174087,557524
116103,1006,7,8027,815476,281353
116104,1007,7,8028,925144,226029
116105,1008,7,8029,31177264,20887263
116106,1009,7,8030,876120,264241
116107,10010,7,8031,3316844,1348093
116108,10011,7,8032,13903689,6293421
116109,10012,7,8033,2474208,845440
116110,10013,7,8034,3392189,1199422
116111,10014,7,8035,4359270,1316284
116112,10015,7,8036,872797,253630
117101,1103,16,8039,28735464,16902304
117102,1104,16,8040,7668872,3162510
117103,1105,16,8041,2102902,734077
117104,1106,16,8042,1636766,584506
117106,1107,16,8043,1716576,570345
117107,1109,16,8045,1480085,629967
117108,1108,16,8044,1875275,607921
118100,1203,8,8050,55487227,37066446
118103,1204,8,8051,4004737,3472658
118105,1205,8,8052,8200509,2344199
118106,1206,8,8053,6288824,2134860
118107,1207,8,8054,1378305,459485
118108,1208,8,8055,1074593,338578
119100,1303,8,8060,29827847,23901859
119101,1304,8,8061,5466781,1582529
119102,1305,8,8062,2924204,1046682
120101,1406,8,8069,2502961,1128802
