hospital_id,hospital_name
103,Hospital Doctor Juan Noé
203,Hospital Iquique
204,Hospital Alto Hospicio
303,Hospital de Antofagasta
304,Hospital de Calama
305,Hospital de Tocopilla
306,Hospital de Taltal
307,Hospital de Mejillones
308,Centro Asistencial Norte
309,CENTRO ONCOLOGICO DEL NORTE
403,Hospital Regional de Copiapó
404,Hospital de Chañaral
405,Hospital Diego de Almagro
406,Hospital de Vallenar
407,Hospital de Huasco
503,Hospital La Serena
504,Hospital Coquimbo
505,Hospital Ovalle
506,Hospital Illapel
507,Hospital Salamanca
508,Hospital Combarbalá
509,Hospital de Andacollo
5010,Hospital Vicuña
5011,Hospital Los Vilos
602,Dirección Servicio de Salud
603,Hospital Carlos Van Buren
604,Hospital Claudio Vicuña
605,Hospital Del Salvador
606,Hospital San José Casablanca
607,Hospital Doctor Eduardo Pereira
608,Atención Primaria de Salud
703,Hospital Doctor Gustavo Fricke
704,Hospital de Quillota
705,Hospital de Quilpué
706,Hospital de La Calera
707,Hospital Geriátrico Paz de la Tarde
708,Hospital de Limache
709,Hospital de La Ligua
7010,Hospital Cabildo
7011,Hospital Petorca
7012,Hospital de Quintero
7013,Hospital Peñablanca
803,Hospital San Camilo de San Felipe
804,Hospital San Juan de Dios de Los Andes
805,Hospital San Francisco de Llay Llay
806,Hospital San Antonio de  Putaendo
807,Hospital Psiquiátrico Doctor  Philippe Pinel de Putaendo
808,Consultorio General Urbano de San Felipe
809,Consultorio General Urbano Nº 2 de Los Andes
8010,Consultorio General Urbano de Llay Llay
8011,Centro De Salud Mental Comunitaria San Felipe
8012,Centro De Salud Mental Comunitaria Los Andes
903,Hospital Rancagua
904,Hospital Graneros
905,Hospital Coínco
906,Hospital Peumo
907,Hospital de Rengo
908,Hospital San Vicente
909,Hospital Pichidegua
9010,Hospital San Fernando
9011,Hospital Chimbarongo
9012,Hospital Nancagua
9013,Hospital Santa Cruz
9014,Hospital Marchigue
9015,Hospital Pichilemu
9016,Hospital de Lolol
9017,Hospital de Litueche
1003,Hospital Curicó
1004,Hospital de Teno
1005,Hospital Molina
1006,Hospital Hualane
1007,Hospital Licantén
1008,Hospital Talca
1009,Hospital Curepto
10010,Hospital Constitución
10011,Hospital Linares
10012,Hospital San Javier
10013,Hospital Parral
10014,Hospital Cauquenes
10015,Hospital Chanco
1103,Hospital de Chillán
1104,Hospital de San Carlos
1105,Hospital de Bulnes
1106,Hospital de Yungay
1107,Hospital de Quirihue
1108,Hospital de Coelemu
1109,Hospital El Carmen
11010,Consultorio Violeta Parra
11011,Centro Comunitario Salud Mental
1203,Hospital Guillermo  Grant Benavente
1204,Hospital Traumatológico
1205,Hospital de Coronel
1206,Hospital Lota
1207,Hospital Santa Juana
1208,Hospital Florida
1209,Consultorio Víctor Manuel Fernández
12010,Centro de Sangre y Tejidos
1303,Hospital Higueras
1304,Hospital Tome
1305,Hospital Penco Lirquén
1306,CESFAM LIRQUEN
1403,CENTRO REGULADOR SAMU SERVICIO SALUD BIO BIO
1404,Hospital Huepil
1405,Hospital de Laja
1406,Hospital de Los Ángeles
1407,Hospital de Mulchén
1408,Hospital de Nacimiento
1409,Hospital de Yumbel
14010,Hospital Santa Bárbara
1503,Hospital Arauco
1504,Hospital de Cañete
1505,Hospital Contulmo
1506,Hospital Curanilahue
1507,Hospital Lebu
1603,Hospital Angol
1604,Hospital Victoria
1605,Hospital Traiguén
1606,Hospital de Collipulli
1607,Hospital Purén
1608,Hospital Curacautín
1609,Hospital de Lonquimay
1703,Consultorio de Miraflores
1704,Hospital de Cunco
1705,Hospital Nueva Imperial
1706,Hospital Villarica
1707,Hospital Carahue
1708,Hospital Gorbea
1709,Hospital Pitrufquén
17010,Hospital Puerto Saavedra
17011,Hospital Toltén
17012,Hospital Galvarino
17013,Hospital Lautaro
17014,Hospital Loncoche
17015,Hospital Vilcún
17016,Hospital Temuco
1803,Hospital de Valdivia
1804,Hospital de Corral
1805,Hospital de Los Lagos
1806,Hospital de Lanco
1807,Hospital de La Unión
1808,Hospital de Río Bueno
1809,Hospital de Paillaco
18010,Consultorio Externo
18011,Hospital Santa Elisa De San Jose De La Mariquina
1903,Hospital de Osorno
1904,Hospital Puerto Octay
1905,Hospital Purranque
1906,Hospital de Río Negro
1907,Hospital Misión San Juan de la Costa
1908,Hospital del Perpetuo Socorro de Quilacahuín
2003,Hospital Calbuco
2004,Hospital Chaitén
2005,Hospital de Fresia
2006,Hospital de Frutillar
2007,Hospital Futaleufú
2008,Hospital de Llanquihue
2009,Hospital de Maullín
20010,Hospital de Palena
20011,Hospital de Puerto Montt
20012,Consultorio de Hualaihue
20013,SAMU RELONCAVI
2103,Dirección de Salud Rural
2104,Hospital de Cisnes
2105,Hospital de Chile Chico
2106,Hospital de Cochrane
2107,Hospital de Coyhaique
2108,Hospital de Puerto Aysén
2109,Consultorio A. Gutiérrez
21010,Consultorio Víctor Domingo Silva
2203,Hospital Porvenir
2204,Hospital de Puerto Natales
2205,Hospital Regional de Punta Arenas
2206,Cecosf Puerto Williams
2207,SAMU Magallanes
2208,Hospital Psiquiátrico
2209,Atención Primaria de Salud
22010,UNIDAD SALUD MENTAL - CTAS COMPLEMENTARIAS
22011,ESTABLECIMIENTO LARGA ESTADIA ADULTO MAYOR
22012,Hospital Comunitario Cristina Calderon de Puerto Williams
2303,Hospital del Tórax
2304,Hospital Luis Calvo Mackenna
2305,Hospital Santiago Oriente Luis Tisne
2306,Hospital Salvador
2307,Instituto de Geriatría
2308,Instituto de Neurocirugía
2309,Instituto Pedro Aguirre Cerda
23010,Hospital de Hanga Roa
2403,Dirección Atención Primaria
2404,Hospital Clínico San Borja Arriaran
2405,Hospital De Urgencia Asistencia Pública
2406,Hospital El Carmen
2407,Centro Metropolitano de Atención Hospitalaria
2503,Hospital Barros Luco Trudeau
2504,Hospital Enfermedades Infecciosas
2505,Hospital Exequiel González Cortés
2506,Hospital San Luis de Buin
2507,Hospital Sanatorio El Peral
2508,Hospital Sanatorio El Pino
2603,Centro De Diagnóstico Terapéutico
2604,Hospital de Til Til
2605,Hospital Roberto del Río
2606,Hospital San José
2607,Instituto Nacional del Cáncer
2608,Instituto Psiquiátrico
2703,Centro de Referencia Salud Occidente Salvador Allende
2704,Hospital de Curacaví
2705,Hospital de Melipilla
2706,Hospital de Peñaflor
2707,Hospital de Talagante
2708,Hospital Félix Bulnes
2709,Hospital San Juan de Dios
27010,Instituto Traumatológico
2803,Hospital Metropolitano
2804,Centro de Referencia de Salud
2805,Hospital Sotero del Río
2806,Hospital San José de Maipo
2807,Hospital La Florida
2808,CRS Puente Alto
3001,Hospital Padre Alberto Hurtado
3101,Centro de Referencia de Salud Maipú
3201,Centro de Referencia de Salud Cordillera Peñalolén Cordillera Oriente
3302,Hospital Castro
3303,Hospital Quellón
3304,Hospital Achao
3305,Hospital Queilen
3306,Hospital Ancud
