hospital_fns_id,hospital_name_x,hospital_id,region_id,hospital_name_y,hospital_alternative_name,latitud,longitud,codigo,name_hospital
103.0,Hospital Doctor Juan Noe,0,,,,,,,
203.0,Hospital de Iquique,0,,,,,,,
204.0,Hospital de Alto Hospicio,0,,,,,,,
303.0,Hospital de Antofagasta,0,,,,,,,
304.0,Hospital de Calama,0,,,,,,,
305.0,Hospital de Tocopilla,0,,,,,,,
306.0,Hospital de Taltal,0,,,,,,,
307.0,Hospital de Mejillones,0,,,,,,,
308.0,Centro Asistencial Norte,0,,,,,,,
309.0,CENTRO ONCOLOGICO DEL NORTE,0,,,,,,,
403.0,Hospital Regional de Copiapo,0,,,,,,,
404.0,Hospital de Cha̱aral,0,,,,,,,
405.0,Hospital Diego de Almagro,0,,,,,,,
406.0,Hospital de Vallenar,0,,,,,,,
407.0,Hospital de Huasco,0,,,,,,,
503.0,Hospital La Serena,0,,,,,,,
504.0,Hospital Coquimbo,0,,,,,,,
505.0,Hospital Ovalle,0,,,,,,,
506.0,Hospital Illapel,0,,,,,,,
507.0,Hospital Salamanca,0,,,,,,,
508.0,Hospital Combarbala,0,,,,,,,
509.0,Hospital de Andacollo,0,,,,,,,
5.01,Hospital Vicu̱a,0,,,,,,,
5.011,Hospital Los Vilos,0,,,,,,,
603.0,Hospital Carlos Van Buren,0,,,,,,,
604.0,Hospital Claudio Vicu̱a,0,,,,,,,
605.0,Hospital Del Salvador,0,,,,,,,
606.0,Hospital San Jose Casablanca,0,,,,,,,
607.0,Hospital Doctor Eduardo Pereira,0,,,,,,,
608.0,Atencion Primaria de Salud,0,,,,,,,
703.0,Hospital Doctor Gustavo Fricke,0,,,,,,,
704.0,Hospital de Quillota,0,,,,,,,
705.0,Hospital de Quilpue,0,,,,,,,
706.0,Hospital de La Calera,0,,,,,,,
707.0,Hospital Geriatrico Paz de la Tarde,0,,,,,,,
708.0,Hospital de Limache,0,,,,,,,
709.0,Hospital de La Ligua,0,,,,,,,
7.01,Hospital Cabildo,0,,,,,,,
7.011,Hospital Petorca,0,,,,,,,
7.012,Hospital de Quintero,0,,,,,,,
7.013,Hospital Pe̱ablanca,0,,,,,,,
803.0,Hospital San Camilo de San Felipe,0,,,,,,,
804.0,Hospital San Juan de Dios de Los Andes,0,,,,,,,
805.0,Hospital San Francisco de Llay Llay,0,,,,,,,
