hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,15,8139,30402083,21385066
102100,203,1,8142,44850918,19773728
103100,303,2,8146,53134618,42003684
103101,304,2,8147,18123688,9167070
103102,305,2,8148,4549364,2287008
103103,306,2,8149,2426618,689939
103104,307,2,8150,1526268,590227
104100,403,3,8154,27590456,15811936
104101,404,3,8155,1869166,396354
104102,405,3,8156,1691434,420132
104103,406,3,8157,12720441,6718989
104104,407,3,8158,1740794,349181
105100,503,4,8161,29923673,24475318
105101,504,4,8162,31000432,26127682
105102,505,4,8163,19145227,10101526
105103,506,4,8164,6332512,1885637
105104,507,4,8165,3007518,1199536
105105,508,4,8166,1890347,532205
105106,509,4,8167,1596879,616857
105107,5010,4,8168,2228996,799236
105108,5011,4,8169,2940537,972550
106100,603,5,8172,50137410,33083454
106102,607,5,8176,12334151,5986307
106103,604,5,8173,12604132,7342081
106104,605,5,8174,5412274,1923720
106105,606,5,8175,2238813,797356
107100,703,5,8180,52740732,41307729
107101,704,5,8181,19476598,12419560
107102,705,5,8182,16974287,8353811
107103,706,5,8183,4848724,1355458
107104,708,5,8185,5096257,1518570
107105,709,5,8186,4465720,1242188
107106,7010,5,8187,1867582,694441
107107,7011,5,8188,1446528,392999
107108,7012,5,8189,3371114,1638279
107109,7013,5,8190,5032254,1855894
107110,707,5,8184,2765778,690272
108100,803,5,8193,16771028,8297405
108101,804,5,8194,13758529,7118840
108102,805,5,8195,2639944,646723
108104,806,5,8196,1580880,376614
108105,807,5,8197,6668078,2241168
109100,2606,13,8387,55929776,33466857
109101,2605,13,8386,29034738,11061119
109102,2608,13,8389,12996131,5198611
109103,2607,13,8388,13645605,8329695
109104,2604,13,8385,2259391,497255
110100,2709,13,8398,55711729,45361429
110110,27010,13,8399,7850702,8656328
110120,2708,13,8397,37434290,28772922
110130,2707,13,8396,11831524,6168261
110140,2706,13,8395,6036394,2140556
110150,2705,13,8394,14140731,5842440
110160,2704,13,8393,3952138,1071342
111100,2404,13,8370,61487479,54832144
111101,2406,13,8372,48789195,27943015
111351,3101,13,8410,4696957,3375332
112100,2306,13,8362,39723250,51337722
112101,2305,13,8361,23000670,11008426
112102,2304,13,8360,25824826,21905171
112103,2303,13,8359,12808285,19211314
112104,2308,13,8364,12303246,9391735
112105,2309,13,8365,3120865,1267630
112106,2307,13,8363,3589953,1089326
112107,23010,13,8366,3600117,2287801
113100,2503,13,8376,66571972,44974942
113130,2505,13,8378,21340298,11279202
113150,2506,13,8379,9637828,2552299
113160,2504,13,8377,4610837,14283551
113170,2507,13,8380,5004178,1701849
113180,2508,13,8381,26849729,12600195
114101,2805,13,8404,94970025,61096731
114102,2806,13,8405,8206167,2391683
114103,3001,13,8409,40191554,24641670
114105,2807,13,8406,44439206,36844792
115100,903,6,8204,55165957,37434344
115101,904,6,8205,2835834,732489
115102,905,6,8206,1671324,431729
115103,906,6,8207,2198007,731766
115104,907,6,8208,5823829,9831070
115105,908,6,8209,3744439,2239921
115106,909,6,8210,1492102,411295
115107,9010,6,8211,14230417,11206359
115108,9011,6,8212,2684015,850229
115109,9012,6,8213,1514048,387985
115110,9013,6,8214,7748052,6645468
115111,9014,6,8215,1133613,400934
115112,9015,6,8216,1934831,957847
115113,9016,6,8217,1144186,414813
115114,9017,6,8218,1288375,367123
116100,1003,7,8221,24579216,20469806
116101,1004,7,8222,2158300,517356
116102,1005,7,8223,3275852,682134
116103,1006,7,8224,1414358,405979
116104,1007,7,8225,1450983,398744
116105,1008,7,8226,60325511,34556712
116106,1009,7,8227,1693249,331152
116107,10010,7,8228,5168507,1605837
116108,10011,7,8229,20666216,10771247
116109,10012,7,8230,4040510,1388528
