hospital_id;hospital_fns_id;region_id;hospital_name;hospital_alternative_name;latitud;longitud
101100;103;15.0;Hospital Dr. Juan Noé Crevanni (Arica);Hospital Doctor Juan Noé;-184827;-703126
0;204;;;Hospital de Alto Hospicio;;
103100;303;2.0;Hospital Dr. Leonardo Guzmán (Antofagasta);Hospital de Antofagasta;-236597;-703959
103101;304;2.0;Hospital Dr. Carlos Cisternas (Calama);Hospital de Calama;-22445;-689181
103102;305;2.0;Hospital Dr. Marcos Macuada (Tocopilla);Hospital de Tocopilla;-220882;-701929
103103;306;2.0;Hospital 21 de Mayo (Taltal);Hospital de Taltal;-254036;-704869
103104;307;2.0;Hospital de Mejillones;Hospital de Mejillones;-230931;-704575
104100;403;3.0;Hospital San José del Carmen (Copiapó);Hospital Regional de Copiapó;-273668;-703417
104101;404;3.0;Hospital Dr. Jerónimo Méndez Arancibia (Chañaral);Hospital de Chañaral;-263442;-706071
104102;405;3.0;Hospital Dr. Florencio Vargas (Diego de Almagro);Hospital Diego de Almagro;-263799;-702974
104103;406;3.0;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar);Hospital de Vallenar;-285765;-703578
104104;407;3.0;Hospital Dr. Manuel Magalhaes Medling (Huasco);Hospital de Huasco;-284568;-702929
105100;503;4.0;Hospital San Juan de Dios (La Serena);Hospital La Serena;-299065;-702432
105101;504;4.0;Hospital San Pablo (Coquimbo);Hospital Coquimbo;-300168;-712544
105102;505;4.0;Hospital Dr. Antonio Tirado Lanas (Ovalle);Hospital Ovalle;-305991;-712124
105103;506;4.0;Hospital Dr. Humberto Elorza Cortés (Illapel);Hospital Illapel;-316277;-713682
105104;507;4.0;Hospital de Salamanca;Hospital Salamanca;-316344;-713425
105105;508;4.0;Hospital San Juan de Dios (Combarbalá);Hospital Combarbalá;-312125;-712355
105106;509;4.0;Hospital Dr. José Arraño (Andacollo);Hospital de Andacollo;-299047;-715976
105107;5010;4.0;Hospital San Juan de Dios (Vicuña);Hospital Vicuña;-300309;-707087
105108;5011;4.0;Hospital San Pedro (Los Vilos);Hospital Los Vilos;-319075;-715144
106100;603;5.0;Hospital Carlos Van Buren (Valparaíso);Hospital Carlos Van Buren;-330458;-716229
106103;604;5.0;Hospital Claudio Vicuña ( San Antonio);Hospital Claudio Vicuña;-335996;-715598
106104;605;5.0;Hospital Del Salvador (Valparaíso);Hospital Del Salvador;-330472;-713567
106105;606;5.0;Hospital San José (Casablanca);Hospital San José Casablanca;-333205;-714102
106102;607;5.0;Hospital Dr. Eduardo Pereira Ramírez (Valparaíso);Hospital Doctor Eduardo Pereira;-330384;-716264
107100;703;5.0;Hospital Dr. Gustavo Fricke (Viña del Mar);Hospital Doctor Gustavo Fricke;-330214;-715537
107101;704;5.0;Hospital San Martín (Quillota);Hospital de Quillota;-328833;-712482
107102;705;5.0;Hospital de Quilpué;Hospital de Quilpue;-330458;-714457
107103;706;5.0;Hospital Dr. Mario Sánchez Vergara (La Calera);Hospital de La Calera;-327875;-712035
107110;707;5.0;Hospital Centro Geriátrico Paz de la Tarde (Limache);Hospital Geriátrico Paz de la Tarde;-330098;-712544
107104;708;5.0;Hospital Santo Tomás (Limache);Hospital de Limache;-330103;-712549
107105;709;5.0;Hospital San Agustín (La Ligua);Hospital de La Ligua;-324478;-712316
107106;7010;5.0;Hospital Dr. Víctor Hugo Moll (Cabildo);Hospital Cabildo;-324285;-710639
107107;7011;5.0;Hospital de Petorca;Hospital Petorca;-322594;-709392
107108;7012;5.0;Hospital Adriana Cousiño (Quintero);Hospital de Quintero;-327844;-715269
107109;7013;5.0;Hospital Juana Ross de Edwards (Peñablanca;Hospital Peñablanca;;-330424
108100;803;5.0;Hospital de San Camilo (San Felipe);Hospital San Camilo de San Felipe;-327521;-707254
108101;804;5.0;Hospital San Juan de Dios (Los Andes);Hospital San Juan de Dios de Los Andes;-328325;-705984
