hospital_id,hospital_fns_id,region_id,hospital_name_x,hospital_name_y,latitud,longitud
101100,103,15,Hospital Doctor Juan Noé,Hospital Dr. Juan Noé Crevanni (Arica),-184827,-703126
102100,203,1,Hospital de Iquique,Hospital Dr. Ernesto Torres Galdames (Iquique),-202139,-701383
0,204,,Hospital de Alto Hospicio,,,
103100,303,2,Hospital de Antofagasta,Hospital Dr. Leonardo Guzmán (Antofagasta),-236597,-703959
103101,304,2,Hospital de Calama,Hospital Dr. Carlos Cisternas (Calama),-22445,-689181
103102,305,2,Hospital de Tocopilla,Hospital Dr. Marcos Macuada (Tocopilla),-220882,-701929
103103,306,2,Hospital de Taltal,Hospital 21 de Mayo (Taltal),-254036,-704869
103104,307,2,Hospital de Mejillones,Hospital de Mejillones,-230931,-704575
104100,403,3,Hospital Regional de Copiapó,Hospital San José del Carmen (Copiapó),-273668,-703417
104101,404,3,Hospital de Chañaral,Hospital Dr. Jerónimo Méndez Arancibia (Chañaral),-263442,-706071
104102,405,3,Hospital Diego de Almagro,Hospital Dr. Florencio Vargas (Diego de Almagro),-263799,-702974
104103,406,3,Hospital de Vallenar,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),-285765,-703578
104104,407,3,Hospital de Huasco,Hospital Dr. Manuel Magalhaes Medling (Huasco),-284568,-702929
105100,503,4,Hospital La Serena,Hospital San Juan de Dios (La Serena),-299065,-702432
105101,504,4,Hospital Coquimbo,Hospital San Pablo (Coquimbo),-300168,-712544
105102,505,4,Hospital Ovalle,Hospital Dr. Antonio Tirado Lanas (Ovalle),-305991,-712124
105103,506,4,Hospital Illapel,Hospital Dr. Humberto Elorza Cortés (Illapel),-316277,-713682
105104,507,4,Hospital Salamanca,Hospital de Salamanca,-316344,-713425
105105,508,4,Hospital Combarbalá,Hospital San Juan de Dios (Combarbalá),-312125,-712355
105106,509,4,Hospital de Andacollo,Hospital Dr. José Arraño (Andacollo),-299047,-715976
105107,5010,4,Hospital Vicuña,Hospital San Juan de Dios (Vicuña),-300309,-707087
105108,5011,4,Hospital Los Vilos,Hospital San Pedro (Los Vilos),-319075,-715144
106100,603,5,Hospital Carlos Van Buren,Hospital Carlos Van Buren (Valparaíso),-330458,-716229
106103,604,5,Hospital Claudio Vicuña,Hospital Claudio Vicuña ( San Antonio),-335996,-715598
106104,605,5,Hospital Del Salvador,Hospital Del Salvador (Valparaíso),-330472,-713567
106105,606,5,Hospital San José Casablanca,Hospital San José (Casablanca),-333205,-714102
106102,607,5,Hospital Doctor Eduardo Pereira,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),-330384,-716264
107100,703,5,Hospital Doctor Gustavo Fricke,Hospital Dr. Gustavo Fricke (Viña del Mar),-330214,-715537
107101,704,5,Hospital de Quillota,Hospital San Martín (Quillota),-328833,-712482
107102,705,5,Hospital de Quilpue,Hospital de Quilpué,-330458,-714457
107103,706,5,Hospital de La Calera,Hospital Dr. Mario Sánchez Vergara (La Calera),-327875,-712035
107110,707,5,Hospital Geriátrico Paz de la Tarde,Hospital Centro Geriátrico Paz de la Tarde (Limache),-330098,-712544
107104,708,5,Hospital de Limache,Hospital Santo Tomás (Limache),-330103,-712549
107105,709,5,Hospital de La Ligua,Hospital San Agustín (La Ligua),-324478,-712316
107106,7010,5,Hospital Cabildo,Hospital Dr. Víctor Hugo Moll (Cabildo),-324285,-710639
107107,7011,5,Hospital Petorca,Hospital de Petorca,-322594,-709392
107108,7012,5,Hospital de Quintero,Hospital Adriana Cousiño (Quintero),-327844,-715269
107109,7013,5,Hospital Peñablanca,Hospital Juana Ross de Edwards (Peñablanca,Hospital Peñablanca,-330424
108100,803,5,Hospital San Camilo de San Felipe,Hospital de San Camilo (San Felipe),-327521,-707254
108101,804,5,Hospital San Juan de Dios de Los Andes,Hospital San Juan de Dios (Los Andes),-328325,-705984
108102,805,5,Hospital San Francisco de Llay Llay,Hospital San Francisco (Llaillay),-328377,-709502
108104,806,5,Hospital San Antonio de  Putaendo,Hospital San Antonio (Putaendo),-326214,-707253
108105,807,5,Hospital Psiquiátrico Doctor  Philippe Pinel de Putaendo,Hospital Psiquiátrico Dr. Philippe Pinel (Putaendo),-326212,-707263
115100,903,6,Hospital Rancagua,Hospital Regional de Rancagua,-341713,-707449
115101,904,6,Hospital Graneros,Hospital Santa Filomena (Graneros),-340667,-707264
