hospital_fns_id;hospital_name_x;hospital_id;region_id;hospital_name_y;hospital_alternative_name;latitud;longitud;codigo;name_hospital
103;Hospital Doctor Juan Noé;101100;15.0;Hospital Dr. Juan Noé Crevanni (Arica);Hospital Doctor Juan Noé;-184.827;-703.126;101100.0;Hospital Dr Juan Noé Crevanni (Arica)
203;Hospital de Iquique;102100;1.0;Hospital Dr. Ernesto Torres Galdames (Iquique);Hospital Iquique;-202.139;-701.383;102100.0;Hospital Dr Ernesto Torres Galdames (Iquique)
204;Hospital de Alto Hospicio;0;;;;;;;
303;Hospital de Antofagasta;103100;2.0;Hospital Dr. Leonardo Guzmán (Antofagasta);Hospital de Antofagasta;-236.597;-703.959;103100.0;Hospital Dr Leonardo Guzmán (Antofagasta)
304;Hospital de Calama;103101;2.0;Hospital Dr. Carlos Cisternas (Calama);Hospital de Calama;-22.445;-689.181;103101.0;Hospital Dr Carlos Cisternas (Calama)
305;Hospital de Tocopilla;103102;2.0;Hospital Dr. Marcos Macuada (Tocopilla);Hospital de Tocopilla;-220.882;-701.929;103102.0;Hospital Dr Marcos Macuada (Tocopilla)
306;Hospital de Taltal;103103;2.0;Hospital 21 de Mayo (Taltal);Hospital de Taltal;-254.036;-704.869;103103.0;Hospital 21 de Mayo (Taltal)
307;Hospital de Mejillones;103104;2.0;Hospital de Mejillones;Hospital de Mejillones;-230.931;-704.575;103104.0;Hospital de Mejillones
403;Hospital Regional de Copiapó;104100;3.0;Hospital San José del Carmen (Copiapó);Hospital Regional de Copiapó;-273.668;-703.417;104100.0;Hospital San José del Carmen (Copiapó)
404;Hospital de Chañaral;104101;3.0;Hospital Dr. Jerónimo Méndez Arancibia (Chañaral);Hospital de Chañaral;-263.442;-706.071;104101.0;Hospital Dr Jerónimo Méndez Arancibia (Chañaral)
405;Hospital Diego de Almagro;104102;3.0;Hospital Dr. Florencio Vargas (Diego de Almagro);Hospital Diego de Almagro;-263.799;-702.974;104102.0;Hospital Dr Florencio Vargas (Diego de Almagro)
406;Hospital de Vallenar;104103;3.0;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar);Hospital de Vallenar;-285.765;-703.578;104103.0;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar)
