hospital_fns_id,hospital_name_x,hospital_id,region_id,hospital_name_y,hospital_alternative_name,latitud,longitud
103.0,Hospital Doctor Juan Noe,,,,,,
203.0,Hospital de Iquique,,,,,,
204.0,Hospital de Alto Hospicio,,,,,,
303.0,Hospital de Antofagasta,,,,,,
304.0,Hospital de Calama,,,,,,
305.0,Hospital de Tocopilla,,,,,,
306.0,Hospital de Taltal,,,,,,
307.0,Hospital de Mejillones,,,,,,
308.0,Centro Asistencial Norte,,,,,,
309.0,CENTRO ONCOLOGICO DEL NORTE,,,,,,
403.0,Hospital Regional de Copiapo,,,,,,
404.0,Hospital de ChaÃ±aral,,,,,,
405.0,Hospital Diego de Almagro,,,,,,
406.0,Hospital de Vallenar,,,,,,
407.0,Hospital de Huasco,,,,,,
503.0,Hospital La Serena,,,,,,
504.0,Hospital Coquimbo,,,,,,
505.0,Hospital Ovalle,,,,,,
506.0,Hospital Illapel,,,,,,
507.0,Hospital Salamanca,,,,,,
508.0,Hospital Combarbala,,,,,,
509.0,Hospital de Andacollo,,,,,,
5.01,Hospital VicuÃ±a,,,,,,
5.011,Hospital Los Vilos,,,,,,
603.0,Hospital Carlos Van Buren,,,,,,
604.0,Hospital Claudio VicuÃ±a,,,,,,
605.0,Hospital Del Salvador,,,,,,
606.0,Hospital San Jose Casablanca,,,,,,
607.0,Hospital Doctor Eduardo Pereira,,,,,,
608.0,Atencion Primaria de Salud,,,,,,
703.0,Hospital Doctor Gustavo Fricke,,,,,,
704.0,Hospital de Quillota,,,,,,
705.0,Hospital de Quilpue,,,,,,
706.0,Hospital de La Calera,,,,,,
707.0,Hospital Geriatrico Paz de la Tarde,,,,,,
708.0,Hospital de Limache,,,,,,
709.0,Hospital de La Ligua,,,,,,
7.01,Hospital Cabildo,,,,,,
7.011,Hospital Petorca,,,,,,
7.012,Hospital de Quintero,,,,,,
7.013,Hospital PeÃ±ablanca,,,,,,
803.0,Hospital San Camilo de San Felipe,,,,,,
804.0,Hospital San Juan de Dios de Los Andes,,,,,,
805.0,Hospital San Francisco de Llay Llay,,,,,,
806.0,Hospital San Antonio de Putaendo,,,,,,
807.0,Hospital Psiquiatrico Doctor Philippe Pinel de Putaendo,,,,,,
808.0,Consultorio General Urbano de San Felipe,,,,,,
809.0,Consultorio General Urbano Nº 2 de Los Andes,,,,,,
8.01,Consultorio General Urbano de Llay Llay,,,,,,
8.011,Centro De Salud Mental Comunitaria San Felipe,,,,,,
8.012,Centro De Salud Mental Comunitaria Los Andes,,,,,,
903.0,Hospital Rancagua,,,,,,
904.0,Hospital Graneros,,,,,,
