"IdEstablecimiento","vrs_2014","vrs_2015","vrs_2016","vrs_2017","vrs_2018","vrs_2019","vrs_2020","promedio_vrs"
101100,0.874,0.748,0.786,0.894,0.938,0.935,1,0.882142857142857
102100,0.648,0.591,0.609,0.762,0.888,0.945,1,0.777571428571429
103100,0.563,0.648,0.652,0.738,0.717,0.737,0.914,0.709857142857143
103101,0.641,0.588,0.561,0.559,0.551,0.66,0.973,0.647571428571429
103102,0.37,0.439,0.455,0.49,0.452,0.476,0.597,0.468428571428571
103103,0.426,0.522,0.507,0.576,0.608,0.519,0.708,0.552285714285714
103104,0.775,0.774,0.796,0.787,0.821,0.772,0.802,0.789571428571429
104100,0.657,0.439,0.463,0.569,0.601,0.591,0.806,0.589428571428571
104101,0.612,0.712,0.753,0.856,0.881,0.8,0.867,0.783
104102,0.539,0.652,0.678,0.813,0.877,0.805,0.928,0.756
104103,0.691,0.733,0.384,0.38,0.331,0.436,0.756,0.530142857142857
104104,0.64,0.654,0.691,0.783,0.956,0.859,0.862,0.777857142857143
105100,0.884,0.781,0.841,1,1,1,0.796,0.900285714285714
105101,0.712,0.572,0.668,0.847,0.821,0.786,0.844,0.75
105102,0.653,0.512,0.587,0.771,0.758,0.825,0.719,0.689285714285714
105103,0.458,0.488,0.535,0.547,0.506,0.529,1,0.580428571428571
105104,0.459,0.574,0.533,0.491,0.5,0.504,0.704,0.537857142857143
105105,0.536,0.692,0.65,0.637,0.698,0.591,0.718,0.646
105106,0.531,0.605,0.629,0.69,0.71,0.613,0.658,0.633714285714286
105107,0.549,0.654,0.748,0.941,0.643,0.615,0.667,0.688142857142857
105108,0.455,0.67,0.521,0.584,0.478,0.442,0.533,0.526142857142857
106100,0.865,0.84,0.809,1,0.776,0.815,0.777,0.840285714285714
106102,0.46,0.435,0.499,0.82,0.762,0.756,0.756,0.641142857142857
106103,0.674,0.556,0.63,0.708,0.649,0.636,0.783,0.662285714285714
106104,0.312,0.275,0.258,0.333,0.33,0.322,0.435,0.323571428571429
106105,0.581,0.577,1,0.989,1,1,0.719,0.838
107100,0.785,0.793,0.773,0.97,0.948,0.835,0.881,0.855
107101,1,1,0.807,0.866,0.821,0.753,0.849,0.870857142857143
107102,0.63,0.504,0.53,0.71,0.643,0.726,0.769,0.644571428571429
107103,0.398,0.567,0.555,0.59,0.464,0.519,0.768,0.551571428571429
107104,0.332,0.525,0.397,0.449,0.404,0.461,0.699,0.466714285714286
107105,0.332,0.415,0.434,0.473,0.468,0.502,0.652,0.468
107106,0.539,0.598,0.629,0.65,0.661,0.668,0.65,0.627857142857143
107107,0.748,0.783,0.683,0.915,0.973,1,1,0.871714285714286
107108,0.411,0.556,0.503,0.483,0.464,0.429,0.721,0.509571428571429
107109,0.288,0.374,0.373,0.462,0.425,0.417,0.625,0.423428571428571
107110,0.479,0.535,0.494,0.659,0.596,0.571,0.693,0.575285714285714
108100,0.799,0.647,0.823,1,1,1,1,0.895571428571429
108101,0.748,0.586,0.614,0.791,0.737,0.761,0.942,0.739857142857143
108102,0.428,0.608,0.606,0.727,0.899,0.811,0.896,0.710714285714286
108104,0.676,0.739,0.782,0.984,1,0.981,1,0.880285714285714
108105,0.112,0.127,0.138,0.206,0.224,0.22,0.236,0.180428571428571
109100,1,1,1,1,1,0.936,0.898,0.976285714285714
109101,0.793,0.859,0.8,0.845,0.921,0.905,0.869,0.856
109102,0.103,0.126,0.132,0.216,0.24,0.311,0.523,0.235857142857143
109103,1,0.963,1,1,1,1,1,0.994714285714286
109104,0.55,0.448,0.432,0.529,0.691,0.568,0.534,0.536
110100,0.748,0.729,0.802,0.925,0.922,0.964,0.872,0.851714285714286
110110,0.459,0.445,0.471,0.404,0.448,0.694,0.941,0.551714285714286
110120,0.738,0.667,0.674,0.728,0.729,0.715,0.852,0.729
110130,0.741,0.465,0.589,0.643,0.48,0.426,0.927,0.610142857142857
110140,0.824,0.804,0.753,0.685,0.51,0.756,0.987,0.759857142857143
110150,0.654,0.482,0.556,0.65,0.662,0.859,0.959,0.688857142857143
