"","Variable","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Frecuencia","Promedio_Pre_Pandemia","Promedio_Pandemia"
"Datos.Establecimiento.Numero.de.Egresos","Datos.Establecimiento.Numero.de.Egresos",9.48269985420857,11.2318251167785,10.5334366897432,8.71225971734162,9.01063902033303,10.0311562933718,8.20120600626464,NA,NA,NA,7,9.83366944862945,8.20120600626464
"X28012600","X28012600",9.54536798824235,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9.54536798824235,NA
"X17170900","X17170900",10.4585150827097,8.35216821866715,4.62594848463049,NA,NA,NA,NA,NA,NA,NA,3,7.81221059533578,NA
"X03030110","X03030110",NA,NA,NA,NA,NA,5.97528979047242,NA,NA,NA,NA,1,5.97528979047242,NA
"X17071100","X17071100",5.63114188192243,3.20871023259488,5.5653031814194,NA,NA,NA,NA,NA,NA,NA,3,4.8017184319789,NA
"X09220100","X09220100",NA,NA,NA,4.58114206934715,NA,NA,NA,NA,NA,NA,1,4.58114206934715,NA
"X17C0307011","X17C0307011",NA,NA,4.1888004652797,NA,NA,NA,NA,NA,NA,NA,1,4.1888004652797,NA
"P1000004","P1000004",NA,NA,4.15023786592246,NA,NA,NA,NA,NA,NA,NA,1,4.15023786592246,NA
"X28020680","X28020680",NA,3.85702265606743,NA,NA,NA,NA,NA,NA,NA,NA,1,3.85702265606743,NA
"X28010500","X28010500",NA,NA,3.84693988995929,NA,NA,NA,NA,NA,NA,NA,1,3.84693988995929,NA
"X17200810","X17200810",NA,NA,NA,NA,4.25862117035676,3.37452652614074,NA,3.80284237213327,7.54361016853058,NA,4,3.81657384824875,5.67322627033192
"X21700701","X21700701",NA,NA,NA,3.78970005214124,4.19868359476368,3.44877556380961,2.491041556429,3.62676946432292,2.57632308260952,3.83236175609912,7,3.81238640357151,3.13162396486514
"X1012197","X1012197",NA,NA,NA,4.45671189025448,3.0978495030983,NA,NA,NA,NA,NA,2,3.77728069667639,NA
"X1010093","X1010093",NA,NA,NA,NA,2.9136427606954,4.48735868933632,NA,NA,NA,NA,2,3.70050072501586,NA
"X09400090","X09400090",NA,NA,NA,3.63800039843359,NA,NA,NA,NA,NA,NA,1,3.63800039843359,NA
"P1000013","P1000013",NA,NA,3.39716782352655,NA,NA,NA,NA,NA,NA,NA,1,3.39716782352655,NA
"P2070502","P2070502",NA,NA,NA,NA,NA,3.2334547655386,NA,NA,NA,NA,1,3.2334547655386,NA
"P2300420","P2300420",NA,NA,NA,NA,3.16174810699912,NA,NA,NA,NA,NA,1,3.16174810699912,NA
"X99000050","X99000050",3.10525955529024,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.10525955529024,NA
"X1011664","X1011664",NA,NA,NA,1.75029002328761,NA,4.19578040411373,NA,NA,NA,NA,2,2.97303521370067,NA
"P1207020","P1207020",0.631901341725746,5.2958627216986,NA,NA,NA,NA,NA,NA,NA,NA,2,2.96388203171217,NA
"X28020570","X28020570",NA,NA,NA,3.13925084010641,NA,2.64010109311947,NA,NA,NA,NA,2,2.88967596661294,NA
"X05226300","X05226300",NA,NA,NA,2.833244352494,NA,NA,NA,NA,NA,NA,1,2.833244352494,NA
"X17180700","X17180700",NA,NA,NA,2.82482066985708,NA,NA,NA,NA,NA,NA,1,2.82482066985708,NA
"Datos.Establecimiento.Dias.Cama.Disponibles","Datos.Establecimiento.Dias.Cama.Disponibles",NA,NA,NA,4.80714000160251,1.49461913234912,1.92768211675169,NA,NA,NA,NA,3,2.74314708356777,NA
"X07021600","X07021600",3.74198023703555,1.05254687693102,3.41589302548654,NA,NA,NA,NA,NA,NA,NA,3,2.73680671315104,NA
"Área.Psiquiatría.Forense.Adulto.evaluación.e.inicio.tto..Numero.de.Egresos","Área.Psiquiatría.Forense.Adulto.evaluación.e.inicio.tto..Numero.de.Egresos",3.20372982691336,1.96619184742331,2.96527504432978,NA,NA,NA,2.2366103365737,NA,NA,NA,4,2.71173223955548,2.2366103365737
"X1010106","X1010106",NA,NA,NA,1.23083907917111,4.3417401005909,2.54345092535478,NA,NA,NA,NA,3,2.70534336837226,NA
"X17051500","X17051500",2.02024331366823,1.67967053905214,2.94996183179267,1.12012201246759,1.80599634793414,6.60855576727417,NA,1.98043600549832,2.71737431967314,NA,8,2.69742496869816,2.34890516258573
"X17010100","X17010100",NA,5.91256537538629,0.572158926773088,NA,1.57728950342932,NA,NA,2.69088411300496,1.84094713320239,NA,5,2.68733793519623,2.26591562310367
"P9100110","P9100110",NA,NA,NA,2.65478228295916,NA,NA,NA,NA,NA,NA,1,2.65478228295916,NA
"X99000830","X99000830",1.67779734471725,2.63280551995111,0,4.02234445508918,3.80027451669651,3.73736754792058,NA,3.95903106167712,NA,NA,7,2.64509823072911,3.95903106167712
"Área.Psiquiatría.Forense.Adulto.evaluación.e.inicio.tto..Dias.Cama.Disponibles","Área.Psiquiatría.Forense.Adulto.evaluación.e.inicio.tto..Dias.Cama.Disponibles",3.13534520486718,1.98755498028876,2.79991454895513,NA,NA,NA,1.947139879154,NA,NA,NA,4,2.64093824470369,1.947139879154
"X17010900","X17010900",1.44123404017047,2.86018231107759,3.79299616541331,NA,2.7184459330598,2.20359387668457,NA,1.82527804178562,1.47907541288142,NA,7,2.60329046528115,1.65217672733352
"Área.Psiquiatría.Forense.Adulto.evaluación.e.inicio.tto..Dias.Cama.Ocupados","Área.Psiquiatría.Forense.Adulto.evaluación.e.inicio.tto..Dias.Cama.Ocupados",2.38134422446265,2.58105233152602,2.84725868682358,NA,NA,NA,1.41230710031469,NA,NA,NA,4,2.60321841427075,1.41230710031469
"X99100320","X99100320",NA,NA,NA,2.67409482872076,1.98902323222056,3.04305826135933,NA,3.08764030288934,NA,NA,4,2.56872544076688,3.08764030288934
"X99000720","X99000720",2.12791573604927,1.49852584651751,1.86141099479423,2.14731913670092,1.79393520130369,5.92957040903892,NA,2.0332448509622,NA,NA,7,2.55977955406742,2.0332448509622
"X09203425","X09203425",1.87258607997921,2.84938390316127,2.89256898690369,NA,NA,NA,0.483231313866847,0.0251503172917309,NA,-0.110211377161901,6,2.53817965668139,0.132723417998892
"X99000660","X99000660",2.93526995419256,2.6763257041033,3.27981053927173,3.18195003634563,1.74617723434886,1.39966495867503,NA,7.31424278172979,NA,NA,7,2.53653307115618,7.31424278172979
"X1011497","X1011497",NA,NA,NA,NA,1.95302340016616,3.07460297796136,NA,NA,NA,NA,2,2.51381318906376,NA
"Área.Psiquiatría.Adulto.Mediana.estadía.Numero.de.Egresos","Área.Psiquiatría.Adulto.Mediana.estadía.Numero.de.Egresos",0,1.72271162294135,2.20923908245323,3.99426117335448,3.9844030477901,3.16624580090704,1.00071505193263,NA,NA,NA,7,2.51281012124103,1.00071505193263
"X1010097","X1010097",NA,NA,NA,NA,3.10663037189853,1.86243134203016,NA,NA,NA,NA,2,2.48453085696434,NA
"X1010210","X1010210",NA,NA,NA,3.4019827444024,2.0878228116889,1.95092164987471,NA,NA,NA,NA,3,2.48024240198867,NA
"X1011955","X1011955",NA,NA,NA,NA,2.46824003739211,NA,NA,NA,NA,NA,1,2.46824003739211,NA
"P9100330","P9100330",NA,NA,NA,NA,NA,2.46296016632273,NA,NA,NA,NA,1,2.46296016632273,NA
