"","Variable","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Frecuencia","Promedio_Pre_Pandemia","Promedio_Pandemia"
"X1010106","X1010106",NA,NA,NA,0.130842158168502,0.114058782878455,0.075004452989701,NA,NA,NA,NA,3,0.106635131345553,NA
"X99100320","X99100320",NA,NA,NA,0.0849531406547137,0.0712281702002084,0.0748268846005937,NA,0.0322742851211087,NA,NA,4,0.0770027318185053,0.0322742851211087
"X1010035","X1010035",NA,NA,NA,0.0384918619880453,0.0985255848518212,NA,NA,NA,NA,NA,2,0.0685087234199332,NA
"Área.Psiquiatría.Adulto.Mediana.estadía.Traslados","Área.Psiquiatría.Adulto.Mediana.estadía.Traslados",0.000381420693889443,0.000188273014277603,0.00150135118148165,0.103147000343506,0.100211516406203,0.101368433138882,0.00126133325857908,NA,NA,NA,7,0.0511329991297066,0.00126133325857908
"X27500100","X27500100",NA,NA,NA,NA,NA,0.046341540465262,NA,NA,NA,NA,1,0.046341540465262,NA
"X99000310","X99000310",NA,0.00021469870459327,0.000307589724840036,0.044948162031848,0.135117141312715,NA,NA,NA,NA,NA,4,0.045146897943499,NA
"Área.Psiquiatría.Adulto.Larga.estadía.Traslados","Área.Psiquiatría.Adulto.Larga.estadía.Traslados",0.000406616659942811,0.000833734080273571,0.000506068700259674,0.0884008250917725,0.0761380744228728,0.0835199250983262,0,NA,NA,NA,7,0.0416342073422412,0
"X1010093","X1010093",NA,NA,NA,NA,0.0225023365104243,0.0435107383584018,NA,NA,NA,NA,2,0.033006537434413,NA
"Área.Psiquiatría.Adulto.Mediana.estadía.Numero.de.Egresos","Área.Psiquiatría.Adulto.Mediana.estadía.Numero.de.Egresos",0.00155743545556933,0.00103438870679359,0.00176909990532592,0.076240726773998,0.0858240580244626,0.0241801864501784,0.00133720316761114,NA,NA,NA,7,0.031767649219388,0.00133720316761114
"P6223400","P6223400",NA,NA,NA,NA,NA,0.0313206108399212,8.77645258793167e-06,NA,NA,NA,2,0.0313206108399212,8.77645258793167e-06
"X26275400","X26275400",0.000167522984942032,4.90862668282523e-05,7.09779096896121e-05,0.0958555311259881,0.0520262947082026,0.0357280517336917,NA,NA,NA,NA,6,0.0306495774548904,NA
"Área.Psiquiatría.Adulto.Mediana.estadía.Dias.de.Estada","Área.Psiquiatría.Adulto.Mediana.estadía.Dias.de.Estada",0.00113119780095162,0.000850836065356621,0.0029707437009494,0.0220936904292144,0.0108958619810576,0.125719512894088,0.000624551843939762,NA,NA,NA,7,0.0272769738119362,0.000624551843939762
"Área.Psiquiatría.Adulto.Larga.estadía.Dias.de.Estada","Área.Psiquiatría.Adulto.Larga.estadía.Dias.de.Estada",0.000795657094564187,0.00135887709828597,0.00117556047989759,0.0337351259082053,0.014908226389231,0.0912950351391947,0.000110697094693878,NA,NA,NA,7,0.0238780803515631,0.000110697094693878
"Datos.Establecimiento.Numero.de.Egresos","Datos.Establecimiento.Numero.de.Egresos",0.00242844872943518,0.00142050928577131,0.00237945885120585,0.0376049301475589,0.024009530587611,0.0488970954031924,0.00565550615271988,NA,NA,NA,7,0.0194566621674624,0.00565550615271988
